ID DEPATAMENTO;DEPARTAMENTO;ID MUNICIPIO;MUNICIPIO;ID LOCALIDAD;LOCALIDAD;AÑO SERVICIO;MES SERVICIO;ENERGÍA ACTIVA;ENERGÍA REACTIVA;POTENCIA MÁXIMA;DÍA DE DEMANDA MÁXIMA;FECHA DE DEMANDA MÁXIMA;PROMEDIO DIARIO EN HORAS
19;CAUCA;19809;TIMBIQUÍ;19809014;CHACÓN (TIMBIQUÍ - CAUCA);2022;1;2450;616;2981;jueves;01/13/2022 07:45:00 PM;328
19;CAUCA;19809;TIMBIQUÍ;19809010;COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA);2022;1;4581;2748;3178;jueves;01/20/2022 07:00:00 PM;551
19;CAUCA;19809;TIMBIQUÍ;19809003;COTEJE (TIMBIQUÍ - CAUCA);2022;1;5863;4178;33;lunes;01/24/2022 06:45:00 PM;701
19;CAUCA;19809;TIMBIQUÍ;19809026;LOS BRAZOS (TIMBIQUÍ - CAUCA);2022;1;8045;1531;4234;miércoles;01/19/2022 07:45:00 PM;705
19;CAUCA;19809;TIMBIQUÍ;19809023;PUERTO SAIJA (TIMBIQUÍ - CAUCA);2022;1;24669;11861;15154;miércoles;01/19/2022 08:00:00 PM;626
19;CAUCA;19809;TIMBIQUÍ;19809007;SAN JOSÉ (TIMBIQUÍ - CAUCA);2022;1;8205;5676;3926;lunes;01/31/2022 07:45:00 PM;83
19;CAUCA;19809;TIMBIQUÍ;19809008;SANTA MARÍA (TIMBIQUÍ - CAUCA);2022;1;13803;5622;711;jueves;01/06/2022 06:45:00 PM;759
19;CAUCA;19809;TIMBIQUÍ;19809009;SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA);2022;1;3882;2566;2268;miércoles;01/26/2022 06:30:00 PM;721
27;CHOCÓ;27006;ACANDÍ;27006000;ACANDÍ (ACANDÍ - CHOCÓ);2022;1;560845;210349;110774;domingo;01/02/2022 08:30:00 PM;217
27;CHOCÓ;27006;ACANDÍ;27006007;SAN FRANCISCO (ACANDÍ - CHOCÓ);2022;1;10598;3551;8482;miércoles;01/05/2022 07:30:00 PM;548
27;CHOCÓ;27025;ALTO BAUDÓ (PIE DE PATO);27025000;CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ);2022;1;45799;14594;10789;sábado;01/30/2022 12:15:00 AM;235
27;CHOCÓ;27075;BAHÍA SOLANO (MUTIS);27075000;CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ);2022;1;664600;240197;128612;jueves;01/20/2022 07:15:00 PM;2354
27;CHOCÓ;27075;BAHÍA SOLANO (MUTIS);27075001;CUPICA (BAHÍA SOLANO - CHOCÓ);2022;1;67016;22507;14599;sábado;01/29/2022 07:30:00 PM;2359
27;CHOCÓ;27075;BAHÍA SOLANO (MUTIS);27075002;EL VALLE (BAHÍA SOLANO - CHOCÓ);2022;1;166124;69597;34927;martes;01/04/2022 07:15:00 PM;2348
27;CHOCÓ;27077;BAJO BAUDÓ (PIZARRO);27077905;BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2022;1;2346;288;3466;miércoles;01/26/2022 08:00:00 PM;227
27;CHOCÓ;27077;BAJO BAUDÓ (PIZARRO);27077011;PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2022;1;6045;5855;32;viernes;01/28/2022 07:00:00 PM;755
27;CHOCÓ;27077;BAJO BAUDÓ (PIZARRO);27077000;PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2022;1;207075;96330;41606;lunes;01/31/2022 07:45:00 PM;2301
27;CHOCÓ;27099;BOJAYÁ (BELLAVISTA);27099000;BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ);2022;1;92871;26910;25581;jueves;01/27/2022 07:15:00 PM;1642
27;CHOCÓ;27099;BOJAYÁ (BELLAVISTA);27099002;LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ);2022;1;13026;6487;608;lunes;01/31/2022 07:15:00 PM;93
27;CHOCÓ;27099;BOJAYÁ (BELLAVISTA);27099005;NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ);2022;1;9644;2507;64;lunes;01/03/2022 08:15:00 PM;551
27;CHOCÓ;27250;EL LITORAL DEL SAN JUAN;27250000;SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ);2022;1;60799;34401;16764;martes;01/26/2022 12:45:00 AM;2245
27;CHOCÓ;27372;JURADÓ;27372000;JURADÓ (JURADÓ - CHOCÓ);2022;1;164830;72505;31888;jueves;01/20/2022 07:30:00 PM;2347
27;CHOCÓ;27425;MEDIO ATRATO (BETÉ);27425000;BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ);2022;1;14515;9906;52;lunes;01/31/2022 08:00:00 PM;1156
27;CHOCÓ;27425;MEDIO ATRATO (BETÉ);27425008;SAN ROQUE (MEDIO ATRATO (BETÉ) - CHOCÓ);2022;1;4040;1287;2443;sábado;01/22/2022 07:15:00 PM;638
27;CHOCÓ;27495;NUQUÍ;27495912;COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ);2022;1;6776;1851;1134;sábado;01/08/2022 04:30:00 PM;2346
27;CHOCÓ;27495;NUQUÍ;27495000;NUQUÍ (NUQUÍ - CHOCÓ);2022;1;251923;97354;49386;sábado;01/08/2022 07:00:00 PM;24
27;CHOCÓ;27495;NUQUÍ;27495011;PUERTO JAGUA (NUQUÍ - CHOCÓ);2022;1;560;314;434;martes;01/18/2022 07:45:00 PM;502
27;CHOCÓ;27001;QUIBDÓ;27001029;TAGACHI (QUIBDÓ - CHOCÓ);2022;1;8280;2970;5686;martes;01/04/2022 01:15:00 PM;712
27;CHOCÓ;27800;UNGUÍA;27800001;BALBOA (UNGUÍA - CHOCÓ);2022;1;19504;7918;8114;domingo;01/02/2022 08:00:00 PM;957
27;CHOCÓ;27800;UNGUÍA;27800005;TITUMATE (UNGUÍA - CHOCÓ);2022;1;17535;4497;953;sábado;01/22/2022 08:15:00 PM;825
27;CHOCÓ;27800;UNGUÍA;27800000;UNGUÍA (UNGUÍA - CHOCÓ);2022;1;386380;137484;79939;jueves;01/20/2022 07:15:00 PM;2215
94;GUAINÍA;94343;BARRANCOMINAS;94343000;BARRANCOMINAS (BARRANCOMINAS - GUAINÍA);2022;1;60972;19836;20286;domingo;01/02/2022 06:30:00 PM;1414
94;GUAINÍA;94001;INÍRIDA;94001000;INÍRIDA (INÍRIDA - GUAINÍA);2022;1;1991755;673698;358952;viernes;01/14/2022 03:15:00 PM;24
95;GUAVIARE;95200;MIRAFLORES;95200000;MIRAFLORES (MIRAFLORES - GUAVIARE);2022;1;76973;28414;19932;lunes;01/31/2022 06:30:00 PM;174
44;LA GUAJIRA;44847;URIBIA;44847012;NAZARETH (URIBIA - LA GUAJIRA);2022;1;42883;17085;18552;martes;01/18/2022 06:30:00 PM;1322
47;MAGDALENA;47189;CIÉNAGA;47189018;PALMOR (CIÉNAGA - MAGDALENA);2022;1;98133;34540;18406;sábado;01/15/2022 06:45:00 PM;2323
50;META;50325;MAPIRIPÁN;50325000;MAPIRIPÁN (MAPIRIPÁN - META);2022;1;172163;71286;34584;jueves;01/27/2022 06:45:00 PM;2354
