id_depatamento,departamento,id_municipio,municipio,id_localidad,localidad,ano_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_de_demanda_maxima,fecha_de_demanda_maxima,promedio_diario_en_horas
99.0,vichada,99773.0,cumaribo,99773000.0,cumaribo_(cumaribo_-_vichada),2020.0,5.0,238166.0,103616.0,556.16,martes,05/12/2020_01:15:00_pm,20.23
99.0,vichada,99524.0,la_primavera,99524000.0,la_primavera_(la_primavera_-_vichada),2020.0,5.0,329807.0,163079.0,675.94,martes,05/19/2020_06:30:00_pm,23.29
99.0,vichada,99001.0,puerto_carreno,99001002.0,casuarito_(puerto_carreno_-_vichada),2020.0,5.0,25270.0,14477.0,123.2,martes,05/12/2020_07:45:00_pm,8.52
99.0,vichada,99001.0,puerto_carreno,99001000.0,puerto_carreno_(puerto_carreno_-_vichada),2020.0,5.0,2258153.0,740233.0,4274.16,martes,05/12/2020_08:45:00_pm,24.0
91.0,amazonas,91001.0,leticia,91001000.0,leticia_(leticia_-_amazonas),2020.0,4.0,3205010.0,1024790.0,6000.86,martes,04/21/2020_06:45:00_pm,24.0
91.0,amazonas,91540.0,puerto_narino,91540000.0,puerto_narino_(puerto_narino_-_amazonas),2020.0,4.0,93654.0,32823.0,199.06,viernes,04/03/2020_06:45:00_pm,23.57
91.0,amazonas,91798.0,tarapaca_(anm),91798000.0,tarapaca_(tarapaca_(anm)_-_amazonas),2020.0,4.0,21751.0,8627.0,87.3,sabado,04/11/2020_07:15:00_pm,10.15
5.0,antioquia,5873.0,vigia_del_fuerte,5873001.0,san_antonio_de_padua_(vigia_del_fuerte_-_antioquia),2020.0,4.0,5709.0,1776.0,43.94,sabado,04/11/2020_07:00:00_pm,5.29
5.0,antioquia,5873.0,vigia_del_fuerte,5873002.0,vegaez_(vigia_del_fuerte_-_antioquia),2020.0,4.0,4612.0,588.0,45.09,martes,04/07/2020_07:15:00_pm,4.58
5.0,antioquia,5873.0,vigia_del_fuerte,5873000.0,vigia_del_fuerte_(vigia_del_fuerte_-_antioquia),2020.0,4.0,83515.0,30671.0,305.54,viernes,04/17/2020_07:15:00_pm,11.18
13.0,bolivar,13001.0,cartagena_de_indias,13001007.0,isla_fuerte_(cartagena_de_indias_-_bolivar),2020.0,4.0,12009.0,6651.0,118.81,lunes,04/13/2020_04:00:00_pm,4.14
13.0,bolivar,13001.0,cartagena_de_indias,13001037.0,isla_mucura_(cartagena_de_indias_-_bolivar),2020.0,4.0,7814.0,3342.0,23.66,miercoles,04/29/2020_09:15:00_pm,14.47
13.0,bolivar,13001.0,cartagena_de_indias,13001017.0,santa_cruz_del_islote_(cartagena_de_indias_-_bolivar),2020.0,4.0,10187.0,3321.0,47.04,jueves,04/16/2020_07:45:00_pm,9.12
18.0,caqueta,18150.0,cartagena_del_chaira,18150001.0,remolino_del_caguan_(cartagena_del_chaira_-_caqueta),2020.0,4.0,12198.0,5968.0,77.82,sabado,04/04/2020_06:45:00_pm,6.42
18.0,caqueta,18753.0,san_vicente_del_caguan,18753002.0,guacamayas_(san_vicente_del_caguan_-_caqueta),2020.0,4.0,10927.0,4550.0,36.41,sabado,04/25/2020_07:15:00_pm,17.09
18.0,caqueta,18753.0,san_vicente_del_caguan,18753009.0,puerto_betania_(san_vicente_del_caguan_-_caqueta),2020.0,4.0,3885.0,1597.0,37.56,domingo,04/12/2020_07:00:00_pm,4.25
85.0,casanare,85430.0,trinidad,85430001.0,bocas_del_pauto_(trinidad_-_casanare),2020.0,4.0,10384.0,5856.0,96.9,viernes,04/17/2020_06:30:00_pm,4.42
19.0,cauca,19418.0,lopez_de_micay,19418038.0,isla_de_gallo_(lopez_de_micay_-_cauca),2020.0,4.0,3156.0,1054.0,25.73,martes,04/14/2020_07:00:00_pm,5.07
19.0,cauca,19418.0,lopez_de_micay,19418019.0,zaragoza_(lopez_de_micay_-_cauca),2020.0,4.0,9095.0,3814.0,58.4,sabado,04/11/2020_09:00:00_pm,7.28
19.0,cauca,19809.0,timbiqui,19809014.0,chacon_(timbiqui_-_cauca),2020.0,4.0,2489.0,425.0,27.34,miercoles,04/01/2020_08:00:00_pm,3.5
19.0,cauca,19809.0,timbiqui,19809010.0,comunidad_de_chete_(timbiqui_-_cauca),2020.0,4.0,5447.0,1571.0,42.21,viernes,04/17/2020_07:15:00_pm,5.06
19.0,cauca,19809.0,timbiqui,19809003.0,coteje_(timbiqui_-_cauca),2020.0,4.0,5830.0,3283.0,34.48,sabado,04/18/2020_06:45:00_pm,6.38
19.0,cauca,19809.0,timbiqui,19809023.0,puerto_saija_(timbiqui_-_cauca),2020.0,4.0,20086.0,6495.0,159.46,sabado,04/11/2020_07:00:00_pm,4.47
19.0,cauca,19809.0,timbiqui,19809007.0,san_jose_(timbiqui_-_cauca),2020.0,4.0,5811.0,3451.0,46.13,jueves,04/16/2020_07:15:00_pm,5.04
19.0,cauca,19809.0,timbiqui,19809008.0,santa_maria_(timbiqui_-_cauca),2020.0,4.0,9753.0,3284.0,77.38,miercoles,04/08/2020_07:45:00_pm,5.11
27.0,choco,27006.0,acandi,27006000.0,acandi_(acandi_-_choco),2020.0,4.0,401367.0,179263.0,954.8,jueves,04/30/2020_09:15:00_pm,18.22
27.0,choco,27006.0,acandi,27006003.0,capurgana_(acandi_-_choco),2020.0,4.0,212215.0,91815.0,470.27,lunes,04/27/2020_10:00:00_pm,19.06
